userid,total_plays,unique_artists,unique_tracks,artist_diversity,track_diversity,listening_span_days,first_listen,last_listen,plays_per_day,top_artist_concentration,age,is_male,is_female,kmeans_cluster,behavior_group
user_000019,27351,760,3137,0.02778691821139995,0.11469416109100215,1223,2005-11-12 03:48:30+00:00,2009-03-19 06:10:31+00:00,22.345588235294116,0.09495082446711273,29.0,0,1,3,Balanced Listeners
user_000020,4493,490,1854,0.10905853549966615,0.41264188738036944,968,2006-07-24 15:06:15+00:00,2009-03-18 23:25:11+00:00,4.636738906088751,0.18295125751168484,27.0,0,1,3,Casual Explorers
user_000021,70215,610,9557,0.0086876023641672,0.13611051769564908,1487,2005-05-24 01:32:59+00:00,2009-06-19 17:12:30+00:00,47.1875,0.0185003204443495,27.0,1,0,2,Power Focused
user_000022,50563,1360,5093,0.02689713822360224,0.10072582718588691,1081,2006-05-14 01:45:37+00:00,2009-04-29 15:36:36+00:00,46.73105360443623,0.01783913138065384,38.0,1,0,2,Balanced Listeners
user_000023,41976,206,2017,0.004907566228320945,0.04805126739089003,592,2007-09-19 13:46:59+00:00,2009-05-03 19:52:32+00:00,70.7858347386172,0.11315990089574995,22.5,0,1,0,Power Focused
user_000024,18581,1362,9743,0.07330068349389161,0.5243528335396372,842,2007-01-11 18:00:46+00:00,2009-05-03 03:40:58+00:00,22.041518386714117,0.032183413163984716,25.0,0,1,3,Balanced Listeners
user_000025,37753,1434,10708,0.03798373639180992,0.28363308876115806,1259,2005-11-10 14:50:40+00:00,2009-04-22 16:00:36+00:00,29.962698412698412,0.024527852091224538,19.0,0,0,2,Balanced Listeners
user_000026,45050,463,4179,0.01027746947835738,0.09276359600443951,1274,2005-12-21 01:40:27+00:00,2009-06-17 13:04:48+00:00,35.333333333333336,0.04736958934517203,22.0,1,0,1,Power Focused
user_000027,3665,217,778,0.0592087312414734,0.21227830832196454,1425,2005-07-25 05:22:17+00:00,2009-06-19 14:54:33+00:00,2.570126227208976,0.08594815825375171,24.0,1,0,1,Casual Explorers
user_000028,12905,383,6171,0.029678419217357612,0.47818674932196825,1256,2005-11-19 21:26:18+00:00,2009-04-29 20:50:04+00:00,10.26650755767701,0.02510654784967067,20.0,1,0,1,Balanced Listeners
user_000029,41059,1198,8278,0.029177525024964075,0.20161231398718918,1168,2006-02-13 07:39:14+00:00,2009-04-26 18:42:49+00:00,35.123182207014544,0.057746170145400524,22.5,1,0,1,Balanced Listeners
user_000030,17043,335,3666,0.019656163820923545,0.2151029748283753,341,2008-05-23 06:32:36+00:00,2009-04-30 03:09:53+00:00,49.833333333333336,0.06941266209000763,22.5,0,0,0,Balanced Listeners
user_000031,32990,2774,16255,0.08408608669293725,0.4927250682024856,975,2006-08-29 20:31:52+00:00,2009-05-01 10:37:23+00:00,33.80122950819672,0.012761442861473174,38.0,0,0,2,Power Explorers
user_000032,13933,320,1331,0.022967056628148998,0.09552860116270724,1522,2005-02-28 23:20:27+00:00,2009-05-01 22:07:58+00:00,9.148391332895601,0.3202468958587526,23.0,1,0,1,Balanced Listeners
user_000033,95868,517,6572,0.005392831810405975,0.06855259314891309,1227,2005-12-23 10:03:54+00:00,2009-05-03 21:50:08+00:00,78.06840390879479,0.12522426670004588,20.0,0,1,2,Power Focused
user_000034,19336,553,5151,0.02859950351675631,0.2663942904426976,1320,2005-09-15 21:01:31+00:00,2009-04-28 15:59:08+00:00,14.637395912187737,0.02353123707074886,35.0,0,1,3,Balanced Listeners
user_000035,8125,508,3486,0.06252307692307692,0.42904615384615385,444,2008-02-13 12:28:49+00:00,2009-05-03 05:18:55+00:00,18.258426966292134,0.032615384615384616,22.0,1,0,0,Casual Explorers
user_000036,4078,350,2148,0.08582638548307994,0.5267287886218734,555,2007-10-26 17:28:06+00:00,2009-05-03 19:29:44+00:00,7.33453237410072,0.05026974006866111,21.0,0,1,3,Casual Explorers
user_000037,5740,692,2235,0.12055749128919861,0.3893728222996516,401,2008-03-28 05:06:33+00:00,2009-05-04 00:00:56+00:00,14.278606965174129,0.0754355400696864,22.5,1,0,0,Casual Explorers
user_000038,14224,236,3576,0.016591676040494937,0.2514060742407199,574,2007-10-08 06:42:22+00:00,2009-05-04 21:56:08+00:00,24.737391304347828,0.10559617547806524,29.0,1,0,0,Balanced Listeners
user_000039,13975,277,1643,0.019821109123434703,0.11756708407871198,1061,2006-06-04 11:33:48+00:00,2009-04-30 15:41:30+00:00,13.159133709981168,0.15277280858676207,21.0,1,0,1,Balanced Listeners
user_000040,18193,782,3553,0.04298356510745891,0.19529489364041114,1105,2006-04-21 09:21:05+00:00,2009-04-30 18:21:47+00:00,16.449367088607595,0.03985049194745232,21.0,0,1,3,Balanced Listeners
user_000041,7541,1205,4378,0.15979313088449806,0.5805596074791142,989,2006-09-05 10:24:16+00:00,2009-05-21 21:33:25+00:00,7.6171717171717175,0.08725633205145206,30.0,1,0,3,Casual Explorers
